,update_time,publish_time,authors,journal_ref,doi,primary_category,categories,entry_id,version
34,2021-10-12 01:19:49+00:00,2021-04-28 15:46:02+00:00,"['Tegg Taekyong Sung', 'Bo Ryu']",,,cs.OS,"['cs.OS', 'cs.DC']",2104.14354,3
35,2015-09-14 21:25:55+00:00,2015-01-28 12:38:20+00:00,"['Jian-Jia Chen', 'Wen-Hung Huang', 'Cong Liu']",,,cs.OS,['cs.OS'],1501.07084,3
36,2019-07-10 15:52:16+00:00,2018-10-03 00:56:10+00:00,"['David Dice', 'Alex Kogan']",,,cs.OS,"['cs.OS', 'D.1.3']",1810.01553,3
37,2021-09-01 14:53:54+00:00,2021-01-14 21:38:57+00:00,"['Hongyu Miao', 'Felix Xiaozhu Lin']",,,cs.AR,"['cs.AR', 'cs.OS']",2101.08744,3
38,2021-08-04 18:08:18+00:00,2020-11-02 15:48:20+00:00,"['Chen Chen', 'Wenshao Zhong', 'Xingbo Wu']",,,cs.OS,"['cs.OS', 'cs.DB', 'cs.DS', 'D.4.3; E.5']",2011.01024,3
39,2021-09-25 14:32:13+00:00,2021-04-12 09:26:04+00:00,"['Chaos Dong', 'Fang Wang', 'Jianshun Zhang']",,,cs.OS,['cs.OS'],2104.05306,3
40,2019-06-05 19:27:33+00:00,2018-11-12 21:00:23+00:00,"['Liwei Guo', 'Shuang Zhai', 'Yi Qiao', 'Felix Xiaozhu Lin']",,,cs.OS,['cs.OS'],1811.05000,3
41,2022-07-06 10:10:41+00:00,2020-12-28 13:03:04+00:00,"['Hejing Li', 'Jialin Li', 'Antoine Kaufmann']",,10.1145/3544216.3544253,cs.DC,"['cs.DC', 'cs.NI', 'cs.OS']",2012.14219,3
42,2004-10-12 05:43:58+00:00,2004-06-02 21:54:50+00:00,"['George Candea', 'Shinichi Kawamoto', 'Yuichi Fujiki', 'Greg Friedman', 'Armando Fox']","Proc. 6th Symposium on Operating Systems Design and Implementation
  (OSDI), San Francisco, CA, Dec 2004",,cs.OS,"['cs.OS', 'cs.DC', 'D.4.0']",cs/0406005,3
43,2017-05-23 19:00:17+00:00,2017-04-29 06:22:32+00:00,"['Monowar Hasan', 'Sibin Mohan', 'Rodolfo Pellizzoni', 'Rakesh B. Bobba']",,,cs.CR,"['cs.CR', 'cs.OS']",1705.00138,3
44,2021-08-12 22:35:55+00:00,2021-06-07 13:43:05+00:00,"['Ricardo Macedo', 'Yusuke Tanimura', 'Jason Haga', 'Vijay Chidambaram', 'José Pereira', 'João Paulo']",,,cs.DC,"['cs.DC', 'cs.OS']",2106.03617,3
45,2017-12-19 03:20:19+00:00,2017-12-11 18:49:08+00:00,"['Carlton Shepherd', 'Raja Naeem Akram', 'Konstantinos Markantonakis']",,,cs.CR,"['cs.CR', 'cs.OS']",1712.03943,3
